,k,mean,pc1_mean,pc2_mean,pc3_mean,std,pc1_std,pc2_std,pc3_std
166,167,0.7475,0.795,0.8099999999999999,0.7475,0.05086747487343949,0.09506576670915771,0.07960841664045332,0.05086747487343949
167,168,0.7475,0.795,0.8099999999999999,0.7475,0.05086747487343949,0.09506576670915771,0.07960841664045332,0.05086747487343949
168,169,0.7525000000000001,0.795,0.8099999999999999,0.7525000000000001,0.049623583103198,0.09506576670915771,0.07960841664045332,0.049623583103198
169,170,0.7525000000000001,0.795,0.8099999999999999,0.7525000000000001,0.049623583103198,0.09506576670915771,0.07960841664045332,0.049623583103198
170,171,0.7525000000000001,0.795,0.8099999999999999,0.7525000000000001,0.049623583103198,0.09506576670915771,0.07960841664045332,0.049623583103198
171,172,0.7525000000000001,0.795,0.8099999999999999,0.7525000000000001,0.049623583103198,0.09506576670915771,0.07960841664045332,0.049623583103198
172,173,0.755,0.795,0.8099999999999999,0.755,0.05338539126015656,0.09506576670915771,0.07960841664045332,0.05338539126015656
173,174,0.755,0.795,0.8099999999999999,0.755,0.05338539126015656,0.09506576670915771,0.07960841664045332,0.05338539126015656
174,175,0.755,0.795,0.8099999999999999,0.755,0.05338539126015656,0.09506576670915771,0.07960841664045332,0.05338539126015656
175,176,0.755,0.795,0.8125,0.755,0.05338539126015656,0.09506576670915771,0.08139410298049855,0.05338539126015656
176,177,0.7575,0.795,0.8125,0.7575,0.050373604199024716,0.09506576670915771,0.08139410298049855,0.050373604199024716
177,178,0.755,0.795,0.8125,0.755,0.05338539126015656,0.09506576670915771,0.08139410298049855,0.05338539126015656
178,179,0.76,0.795,0.8125,0.76,0.05556527692723216,0.09506576670915771,0.08139410298049855,0.05556527692723216
179,180,0.76,0.795,0.8125,0.76,0.05556527692723216,0.09506576670915771,0.08139410298049855,0.05556527692723216
180,181,0.7625,0.795,0.8125,0.7625,0.05244044240850758,0.09506576670915771,0.08139410298049855,0.05244044240850758
181,182,0.7649999999999999,0.7925,0.8125,0.7649999999999999,0.04962358310319801,0.09137833441248534,0.08139410298049855,0.04962358310319801
182,183,0.7625,0.7925,0.8125,0.7625,0.05244044240850758,0.09137833441248534,0.08139410298049855,0.05244044240850758
183,184,0.7575000000000001,0.7925,0.8125,0.7575000000000001,0.0551135192126215,0.09137833441248534,0.08139410298049855,0.0551135192126215
184,185,0.76,0.7925,0.8125,0.76,0.0544288526426931,0.09137833441248534,0.08139410298049855,0.0544288526426931
185,186,0.76,0.7925,0.8125,0.76,0.0544288526426931,0.09137833441248534,0.08139410298049855,0.0544288526426931
186,187,0.76,0.7925,0.8125,0.76,0.0544288526426931,0.09137833441248534,0.08139410298049855,0.0544288526426931
187,188,0.76,0.7925,0.8125,0.76,0.0544288526426931,0.09137833441248534,0.08139410298049855,0.0544288526426931
188,189,0.76,0.7925,0.8125,0.76,0.0544288526426931,0.09137833441248534,0.08139410298049855,0.0544288526426931
189,190,0.76,0.7925,0.8125,0.76,0.0544288526426931,0.09137833441248534,0.08139410298049855,0.0544288526426931
190,191,0.76,0.7925,0.8125,0.76,0.0544288526426931,0.09137833441248534,0.08139410298049855,0.0544288526426931
191,192,0.7575000000000001,0.7925,0.8125,0.7575000000000001,0.0551135192126215,0.09137833441248534,0.08139410298049855,0.0551135192126215
192,193,0.7575000000000001,0.7925,0.8125,0.7575000000000001,0.0551135192126215,0.09137833441248534,0.08139410298049855,0.0551135192126215
193,194,0.7575000000000001,0.7925,0.8125,0.7575000000000001,0.0551135192126215,0.09137833441248534,0.08139410298049855,0.0551135192126215
194,195,0.7575000000000001,0.7925,0.8125,0.7575000000000001,0.0551135192126215,0.09137833441248534,0.08139410298049855,0.0551135192126215
195,196,0.7575000000000001,0.7925,0.8125,0.7575000000000001,0.0551135192126215,0.09137833441248534,0.08139410298049855,0.0551135192126215
196,197,0.7550000000000001,0.7925,0.8125,0.7550000000000001,0.050990195135927854,0.09137833441248534,0.08139410298049855,0.050990195135927854
197,198,0.7550000000000001,0.7925,0.8125,0.7550000000000001,0.050990195135927854,0.09137833441248534,0.08139410298049855,0.050990195135927854
198,199,0.7525000000000001,0.7925,0.8125,0.7525000000000001,0.04962358310319803,0.09137833441248534,0.08139410298049855,0.04962358310319803
